Treatment,Species,Veg_biomass,Root_Biomass,Inflor_biomass
MF,burkei,0.0159,0.02962,0
MF,coulteri,0.0678,0.03512,13.169
MF,platycarpha,0.031,0.02504,13.877
MF,microglossa,,0.00126,
MF,glaberrima,0.047,0.03851,1.597
MF,californica,0.0317,0.02252,0
MF,ferrisiae,0.0073,0.01225,0
MF,californica,,0.00025,
MF,chrysantha,0.0464,0.02966,29.409
MF,gracilis,0.0104,0.01172,7.204
MF,glabrata,0.0489,0.03194,4.826
F,burkei,0.0011,0.0008,0
F,californica,,,
F,glabrata,0.0125,0.00777,0
F,ferrisiae,,0.0018,
F,glaberrima,0.0018,0.0029,0
F,debilis,,0.00123,
F,conjugens,0.0019,0.001,0
F,microglossa,,0.00022,
F,conjugens,0.0057,0.0017,0
F,gracilis,,0.00918,
F,debilis,,0.0025,
F,platycarpha,,0.00487,
F,gracilis,,0.00064,
F,fremontii,0.0253,0.01115,5.733
F,chrysantha,,0.0001,
F,glaberrima,0.0205,0.01651,0
F,platycarpha,,0.000943,
F,californica,,0.00119,
F,chrysantha,0.0128,0.004757,0
F,burkei,0.0079,0.00399,0
F,minor,0.0072,0.00264,0
F,coulteri,0.0099,0.0058,0
F,ferrisiae,0.0081,0.00556,0
F,fremontii,0.0029,0.00187,0
F,minor,,0.00043,
F,microglossa,,,
D,minor,0.0275,0.02314,9.556
D,californica,0.0161,0.01812,0
D,minor,,0.05036,
D,fremontii,0.0114,0.00822,0
D,chrysantha,0.0269,0.03452,22.581
D,platycarpha,0.014,0.01465,10.505
D,chrysantha,0.0391,0.01652,22.186
D,platycarpha,0.0131,0.0018,14.621
D,conjugens,0.0153,0.01987,0
D,burkei,0.0194,0.01538,0
D,microglossa,0.0162,0.01412,11.019
D,microglossa,0.0169,0.01498,7.063
D,coulteri,,,
D,ferrisiae,0.0325,0.04181,11.942
D,gracilis,0.0148,0.02384,0
D,burkei,0.0289,0.03471,0
D,glaberrima,0.0176,0.03478,0
D,conjugens,0.0151,0.02513,0
D,glabrata,0.0588,0.03344,6.534
D,ferrisiae,0.0441,0.04125,0
D,glaberrima,0.0088,0.02497,0
D,fremontii,0.0279,0.02331,6.641
D,debilis,0.0191,0.04302,3.785
D,californica,0.0091,0.00984,6.887
D,debilis,0.0142,0.0176,4.185
D,gracilis,0.0125,0.01094,6.809
MD,conjugens,0.0289,0.0244,5.614
MD,ferrisiae,0.0357,0.01333,8.771
MD,platycarpha,0.0349,0.01497,15.494
