11	12	13	14	15	16	17	18	19
6.164697	6.237894	5.109194	6.402171	6.162346	7.953256	4.514136	3.543712	6.007645
6.106513	6.044084	5.208934	6.484063	6.156437	7.926809	4.578898	3.56723	5.868647
5.904402	6.088001	5.222219	6.866508	5.949497	7.594001	4.534459	3.710365	5.79922
6.741732	6.202442	5.09716	6.97402	6.218511	7.688703	4.662983	3.832858	5.624556
6.41336	6.201781	5.223701	6.712987	6.183014	7.573367	4.986385	3.817153	5.604039
6.762181	6.223464	5.345267	6.369065	6.195391	7.684231	5.133028	3.93865	5.596095
6.939842	6.259758	5.586323	6.359214	6.444713	7.669369	5.327701	4.129935	5.36281
6.223174	6.335553	5.421187	6.560321	6.511631	7.654417	5.100711	4.24646	5.374525
6.062005	6.248246	5.710239	6.576859	6.751031	7.813834	5.26426	4.238258	5.16944
6.615237	6.04974	5.652167	6.850225	6.778612	7.806992	4.957286	4.281977	5.480662
