"debilis" "burkei" "fremontii" "ferrisiae" "glaberrima" "chrysantha" "californica" "coulteri" "conjugens" "gracilis" "microglossa" "platycarpha" "glabrata" "minor"
"1" 3.12782668166817 2.77314455055506 3.37700560056006 2.57243713571357 2.91097469081908 2.67784877887789 2.92647735973597 3.11106364356436 2.87916641824182 2.83532078967897 2.88748065606561 2.86513687638764 2.63443796809681 2.73675831683168
"2" 3.52493545654565 2.7944338109811 2.97827695383538 2.54920782808281 3.23017879377938 2.50945154715472 3.25137686238624 2.65334292339234 3.21160907382738 3.24100795629563 1.91043422042204 2.82424356435644 2.36198343834383 2.80362515661566
"3" 3.08628330933093 2.98368502850285 3.33904110511051 2.66901868586859 3.09097342985299 2.62467732073207 3.84386714071407 2.81937199319932 3.05751430507051 2.88056285658566 2.85019425742574 2.72878200020002 2.51721067176718 2.74247722292229
"4" 2.9846771870187 3.10853199689969 3.40403761416142 2.5522503180318 3.10211252825283 2.97276769076908 2.93172329272927 2.84924172817282 3.1421320929693 2.96431277727773 2.56355702770277 2.88770534753475 2.63820900180018 2.43770555965597
"5" 2.67619567876788 3.21441679707971 3.17374405510551 2.60850359735974 3.30098485378538 2.68205712871287 2.91290276717672 3.19726378937894 3.31833264886489 3.23339643064306 2.31572660666067 2.8862204410441 2.87806057005701 2.67185720972097
"6" 3.51762106510651 3.03874004950495 3.36002088118812 2.59037302820282 2.89183983338334 2.38445694169417 2.80535376310631 2.60643169816982 3.25292968636864 3.17453436223622 2.30415295829583 2.68854319831983 2.64688312431243 2.68844924182418
"7" 2.8489800990099 3.1278529459946 3.10660084708471 3.06636448844884 2.96345455385539 2.76775939493949 3.02598912651265 3.14899941644164 3.42342722772277 2.77209635613561 2.65246321332133 2.84217894489449 2.40699194119412 2.51944077707771
"8" 2.89653441914191 3.11440818961896 3.34962824062406 2.84796873687369 3.17666644434443 2.7196095829583 3.17928457365737 2.19914690549055 3.23032348734873 2.93941618021802 2.14460900640064 3.130590180018 3.20897668166817 2.35701284018402
"9" 2.92138671467147 3.04835354368437 3.41779002570257 2.577799709971 3.04774624032403 2.49045333533353 2.76190797389739 2.74945782178218 2.7769736039604 2.98988079207921 3.09372831893189 2.57390885628563 2.70166368406841 2.41090592359236
"10" 3.07473702270227 3.24983154775478 3.1312902790279 2.69714221881188 2.73868681518152 2.59657466746675 3.22361791629163 2.96972820382038 3.00107562386239 2.9604428229823 2.69487981548155 2.85760935793579 2.48658251635164 2.47205994449445
"11" 2.67114683368337 3.05728561356136 3.44234331833183 2.11640097909791 2.9636070930093 2.51818211221122 2.70841873087309 2.80107706570657 3.45252316891689 2.94456515891589 2.69232369636964 2.87092742574257 2.26776034653465 2.46725857255726
"12" 2.99686223722372 2.97099912541254 3.27621880318032 2.79451824382438 2.805369640044 2.56473102810281 2.74156808280828 2.98035415841584 3.05327548584858 2.91921382418242 2.57953321782178 2.82103404780478 2.41960762226223 2.75561792079208
"13" 2.71802143714371 2.99965041134113 3.21651444554455 2.83109088208821 3.26563823582358 2.22093264026403 3.02885113111311 2.8871395269527 2.84037775477548 2.86363981828183 2.94326306930693 2.86964459345935 2.78330649254926 2.7146099449945
"14" 3.05705255225523 3.0827333960396 3.17156141314131 2.4456398569857 2.819921180018 2.70936850585059 2.52201556015602 2.84001739373937 3.41650328222822 3.11980741440144 2.42549192319232 2.83726855085509 2.78118218121812 2.93382903070307
